nombredepartamento,nombremunicipio,zona,tipo_Establecimiento,capacidades_Excepcionales,idiomas,prestador_de_Servicio,matricula_Contratada,matricula_binaria
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,SANDONÁ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ANTIOQUIA,MURINDÓ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
MAGDALENA,ZONA BANANERA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SAN ONOFRE,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
HUILA,GUADALUPE,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
PUTUMAYO,PUERTO ASÍS,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CAUCA,BOLÍVAR,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NARIÑO,MAGÜI,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
BOLÍVAR,MOMPÓS,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
HUILA,GARZÓN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,TAMINANGO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CÓRDOBA,SAN ANTERO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CÓRDOBA,MONTERÍA,urbana,CENTRO EDUCATIVO,,ALEMAN,PERSONA NATURAL,NO,0
CAUCA,POPAYÁN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,TIERRALTA,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
AMAZONAS,LA PEDRERA,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
MAGDALENA,FUNDACIÓN,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
GUAINÍA,CACAHUAL,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CÓRDOBA,SAN BERNARDO DEL VIENTO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,GUADALAJARA DE BUGA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CHÍA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CAJICÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,OVEJAS,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ANTIOQUIA,TOLEDO,rural,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
SUCRE,PALMITO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ANTIOQUIA,LA PINTADA,urbana,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
RISARALDA,DOSQUEBRADAS,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
MAGDALENA,ZONA BANANERA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,SANDONÁ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
RISARALDA,PEREIRA,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
RISARALDA,PEREIRA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,INSTITUCION EDUCATIVA,,INGLÉS,PERSONA NATURAL,NO,0
NARIÑO,OLAYA HERRERA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,TIMBIQUÍ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOYACÁ,DUITAMA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,LA UNIÓN,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ANTIOQUIA,TARSO,urbana,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
SANTANDER,SAN VICENTE DE CHUCURÍ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
RISARALDA,PEREIRA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
MAGDALENA,SABANAS DE SAN ANGEL,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CAUCA,EL TAMBO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
NARIÑO,OLAYA HERRERA,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,PIAMONTE,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
AMAZONAS,LA PEDRERA,rural,CENTRO EDUCATIVO,,,COMUNIDAD,SI,1
NARIÑO,OLAYA HERRERA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
MAGDALENA,FUNDACIÓN,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,LA CEJA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,PUERTO ESCONDIDO,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CUNDINAMARCA,MADRID,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,ROBERTO PAYÁN,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,FEDERACIONES,NO,0
ARAUCA,TAME,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,EL BANCO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,TABIO,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
LA GUAJIRA,MAICAO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SIBATÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,AIPE,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,rural,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
BOYACÁ,TUNJA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
RISARALDA,DOSQUEBRADAS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,IPIALES,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CAUCA,PURACÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,PITALITO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SUCRE,TOLÚ VIEJO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
CÓRDOBA,PUEBLO NUEVO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,MADRID,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,INSTITUCION EDUCATIVA,,,COMUNIDAD RELIGIOSA,NO,0
META,PUERTO GAITÁN,urbana,CENTRO EDUCATIVO,,,COMUNIDAD RELIGIOSA,NO,0
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,ZONA BANANERA,rural,CENTRO EDUCATIVO,,FRANCES,PERSONA NATURAL,NO,0
VICHADA,SANTA ROSALÍA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,POPAYÁN,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
TOLIMA,FRESNO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,FUSAGASUGÁ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
LA GUAJIRA,RIOHACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,ACEVEDO,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
META,LEJANÍAS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CAUCA,SANTANDER DE QUILICHAO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CALI,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
AMAZONAS,LA PEDRERA,rural,CENTRO EDUCATIVO,,,COMUNIDAD,SI,1
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
NARIÑO,SAMANIEGO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,TENJO,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
ATLÁNTICO,MALAMBO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
CUNDINAMARCA,NILO,rural,INSTITUCION EDUCATIVA,,,REGIMEN ESPECIAL,NO,0
TOLIMA,IBAGUÉ,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,SANTA ROSA DEL SUR,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
RISARALDA,PEREIRA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,ZARZAL,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SUCRE,SAMPUÉS,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,SAN AGUSTÍN,urbana,INSTITUCION EDUCATIVA,,INGLÉS,COMUNIDAD RELIGIOSA,NO,0
NARIÑO,LA CRUZ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CÓRDOBA,MONTERÍA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CAUCA,MIRANDA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,EL ROSARIO,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CAUCA,TORIBIO,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
ANTIOQUIA,MEDELLÍN,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
MAGDALENA,NUEVA GRANADA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,SAN PEDRO,urbana,CENTRO EDUCATIVO,CAPACIDADES EXCEPCIONALES,,PERSONA NATURAL,NO,0
BOYACÁ,NOBSA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ARAUCA,FORTUL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CAUCA,SANTANDER DE QUILICHAO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
META,EL CALVARIO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,BRICEÑO,rural,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
CHOCÓ,MEDIO ATRATO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
NARIÑO,EL ROSARIO,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
NARIÑO,OSPINA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CÓRDOBA,SAN ANTERO,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,CÚCUTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,POLICARPA,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,FUNDACIÓN,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
MAGDALENA,SANTA MARTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,CIÉNAGA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,FUSAGASUGÁ,urbana,INSTITUCION EDUCATIVA,"TALENTO CIENTIFICO,TALENTO TECNOLOGICO,TALENTO SUBJETIVO/ARTÍSTICO",,PERSONA NATURAL,NO,0
NARIÑO,TÚQUERRES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,JAMUNDÍ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
AMAZONAS,LA PEDRERA,rural,CENTRO EDUCATIVO,,,COMUNIDAD,SI,1
SUCRE,BUENAVISTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,TIERRALTA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
MAGDALENA,SABANAS DE SAN ANGEL,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,PUERTO ESCONDIDO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CÓRDOBA,SAN ANDRÉS DE SOTAVENTO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,PIVIJAY,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
META,GRANADA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,CAICEDONIA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,TIERRALTA,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
CUNDINAMARCA,LA CALERA,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,CIÉNAGA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CÓRDOBA,TIERRALTA,urbana,CENTRO EDUCATIVO,,,FUNDACION O CORPORACIONES,NO,0
CUNDINAMARCA,ANAPOIMA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,TAMINANGO,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
TOLIMA,IBAGUÉ,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
LA GUAJIRA,RIOHACHA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
HUILA,NEIVA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,ACACÍAS,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,LA TOLA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CÓRDOBA,SAN ANDRÉS DE SOTAVENTO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,CUMBITARA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
CAUCA,VILLA RICA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CESAR,BOSCONIA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NORTE DE SANTANDER,OCAÑA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CAUCA,PATÍA,rural,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
NARIÑO,SAMANIEGO,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,SI,1
META,VILLAVICENCIO,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,CHÍA,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
NARIÑO,SAPUYES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
NARIÑO,MOSQUERA,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CAUCA,PATÍA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
NARIÑO,SANDONÁ,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
SUCRE,SAN PEDRO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
BOLÍVAR,ARENAL,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,TARAZÁ,urbana,INSTITUCION EDUCATIVA,,,FUNDACION O CORPORACIONES,NO,0
GUAINÍA,BARRANCO MINAS,rural,CENTRO EDUCATIVO,,,OFICIAL,SI,1
SUCRE,SANTIAGO DE TOLÚ,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
SUCRE,LA UNIÓN,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
NARIÑO,TÚQUERRES,rural,CENTRO EDUCATIVO,,,OFICIAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
MAGDALENA,SANTA MARTA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,SI,1
GUAVIARE,EL RETORNO,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
ANTIOQUIA,DABEIBA,rural,INSTITUCION EDUCATIVA,,,OFICIAL,SI,1
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,SAN ONOFRE,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,INSTITUCION EDUCATIVA,,,PERSONA NATURAL,NO,0
CAUCA,MORALES,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
BOLÍVAR,CARTAGENA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CESAR,VALLEDUPAR,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,CALDAS,urbana,CENTRO EDUCATIVO,,INGLÉS,PERSONA NATURAL,NO,0
CUNDINAMARCA,GIRARDOT,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
SUCRE,MAJAGUAL,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
META,VILLAVICENCIO,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,BARRANQUILLA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
VALLE DEL CAUCA,BUENAVENTURA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
CUNDINAMARCA,SOACHA,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ANTIOQUIA,MEDELLÍN,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
ATLÁNTICO,SOLEDAD,urbana,CENTRO EDUCATIVO,,,PERSONA NATURAL,NO,0
