nombredepartamento,nombremunicipio,zona,tipo_Establecimiento,capacidades_Excepcionales,idiomas,prestador_de_Servicio,matricula_Contratada,matricula_binaria
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,rural,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
VALLE DEL CAUCA,CALI,urbana,INSTITUCION EDUCATIVA,,,OFICIAL,NO,0
